,0
0,12.187000000000001
1,3.0780000000000003
2,20.145
3,19.62
4,20.32
5,24.249000000000002
6,11.687000000000001
7,15.19
8,2.9530000000000003
9,15.065
10,24.499000000000002
11,23.123
12,23.023000000000003
13,22.798000000000002
14,9.61
15,9.985
16,2.7030000000000003
17,3.804
18,1.0759999999999998
19,24.374000000000002
20,0.275
21,16.191
22,16.842
23,12.387
24,0.325
25,7.157
26,19.094
27,6.857
28,24.65
29,6.156000000000001
30,0.976
31,3.6039999999999996
32,0.9259999999999999
33,19.069000000000003
34,0.701
35,14.264000000000001
36,11.360999999999999
37,3.428
38,19.044
39,11.787
40,4.303999999999999
41,19.945
42,15.34
43,25.0
44,23.599
45,22.873
46,7.882999999999999
47,23.899
48,18.317999999999998
49,24.85
50,10.385
51,16.241
52,2.5780000000000003
53,15.540999999999999
54,22.773000000000003
55,16.917
56,8.083
57,5.631
58,24.024
59,3.403
60,17.367
61,21.445999999999998
62,22.221999999999998
63,16.291
64,4.88
65,15.815999999999999
66,22.673000000000002
67,4.98
68,15.215
69,23.223000000000003
70,15.665999999999999
71,19.72
72,4.955
73,0.826
74,10.135
75,7.257000000000001
76,7.832999999999999
77,7.507999999999999
78,23.949
79,8.208
80,12.738
81,11.737
82,21.070999999999998
83,3.529
84,15.716
85,12.663
86,7.107
87,5.305
88,21.822
89,0.15
90,20.22
91,0.8009999999999999
92,7.307
93,12.538
94,13.312999999999999
95,1.276
96,5.931
97,12.462
98,5.455
99,20.12
100,15.741
101,8.834
102,12.412
103,5.981
104,8.308
105,20.570999999999998
106,6.106
107,13.038
108,5.831
109,18.067999999999998
110,21.921999999999997
111,14.389000000000001
112,6.957000000000001
113,9.86
114,17.467
115,9.259
116,6.406000000000001
117,14.364
118,12.613
119,20.17
120,19.67
121,17.643
122,11.812000000000001
123,6.782
124,1.426
125,23.824
126,7.933
127,1.5019999999999998
128,2.102
129,5.18
130,4.555
131,3.2030000000000003
132,10.16
133,13.564
134,11.036
135,3.779
136,1.5519999999999998
137,15.415
138,1.251
139,18.093
140,19.645
141,22.322
142,11.011
143,1.101
144,19.845
145,18.994
146,7.733
147,21.496
148,17.417
149,7.057
150,10.735999999999999
151,5.506
152,17.543
153,17.442
154,17.567999999999998
155,10.960999999999999
156,19.194000000000003
157,9.835
158,10.886
159,10.285
160,11.937000000000001
161,12.963
162,3.5789999999999997
163,1.026
164,10.985999999999999
165,11.311
166,6.607
167,5.806
168,8.183
169,20.671
170,19.695
171,1.8769999999999998
172,14.014000000000001
173,17.843
174,3.9789999999999996
175,15.915999999999999
176,16.041
177,0.6759999999999999
178,14.64
179,20.27
180,24.75
181,11.662
182,7.9079999999999995
183,4.428999999999999
184,24.875
185,23.699
186,5.781000000000001
187,7.432
188,7.608
189,0.7509999999999999
190,17.142
191,5.731
192,17.593
193,7.082000000000001
194,12.037
195,12.988
196,20.796
197,16.090999999999998
198,24.775
199,19.895
200,12.487
201,19.269000000000002
202,0.851
203,16.692
204,15.165
205,13.714
206,11.386
207,20.521
208,0.225
209,18.919
210,6.356
211,14.339
212,14.615
213,3.929
214,9.535
215,21.320999999999998
216,23.849
217,14.039000000000001
218,15.115
219,22.022
220,9.309
221,22.497
222,4.178999999999999
223,15.591
224,12.888
225,0.5760000000000001
226,18.619
227,4.605
228,13.437999999999999
229,1.652
230,23.974
231,3.053
232,1.902
233,13.739
234,2.553
235,10.561
236,19.795
237,20.295
238,20.646
239,6.181
240,11.286
241,3.378
242,18.869
243,6.682
244,9.735
245,1.001
246,2.077
247,22.272
248,0.0
249,10.21
250,18.519000000000002
251,21.421
252,5.205
253,17.518
254,15.465
255,24.349
256,8.884
257,18.544
258,12.788
259,5.03
260,23.373
261,5.08
262,22.296999999999997
263,8.408
264,3.6289999999999996
265,15.49
266,2.4019999999999997
267,17.267
268,18.744
269,10.485
270,14.289000000000001
271,11.612
272,7.407
273,7.207000000000001
274,16.967
275,9.209
276,17.817999999999998
277,6.732
278,23.298000000000002
279,24.95
280,13.263
281,16.567
282,10.26
283,4.53
284,6.131
285,24.049
286,21.846999999999998
287,23.248
288,22.823
289,19.169
290,4.93
291,4.329
292,13.539000000000001
293,6.081
294,17.893
295,14.84
296,3.028
297,16.366
298,12.863
299,18.844
300,22.471999999999998
301,2.0269999999999997
302,5.556
303,19.545
304,23.473000000000003
305,13.989
306,22.346999999999998
307,1.702
308,19.57
309,2.8280000000000003
310,20.871
311,22.072
312,6.481
313,14.765
314,1.151
315,9.434
316,18.594
317,8.033
318,7.558
319,12.362
320,10.235
321,1.301
322,1.401
323,6.456
324,9.56
325,23.574
326,22.623
327,14.715
328,21.121
329,19.82
330,22.998
331,7.382000000000001
332,14.59
333,23.423000000000002
334,8.859
335,5.255
336,17.117
337,22.523000000000003
338,21.671999999999997
339,16.992
340,10.11
341,12.337
342,23.348000000000003
343,5.956
344,20.095
345,13.388
346,3.7289999999999996
347,16.942
348,1.051
349,8.133
350,17.067
351,24.174
352,8.684
353,24.299
354,1.827
355,9.96
356,15.991
357,19.77
358,4.78
359,23.624000000000002
360,3.679
361,4.73
362,14.865
363,12.287
364,14.189
365,10.710999999999999
366,0.526
367,18.043
368,10.035
369,12.588
370,16.465999999999998
371,9.935
372,6.006
373,2.252
374,8.634
