,0
0,0.0
1,0.0
2,0.0
3,0.0
4,4.331
5,5.553
6,5.2410000000000005
7,7.974
8,9.746
9,0.0
10,7.271
11,0.795
12,7.35
13,1.996
14,2.064
15,6.511
16,0.0
17,2.085
18,0.0
19,0.121
20,1.208
21,3.373
22,6.51
23,0.0
24,4.156000000000001
25,2.005
26,5.352
27,0.0
28,7.221
29,2.439
30,0.0
31,2.359
32,7.047999999999999
33,0.0
34,0.0
35,0.0
36,0.0
37,2.287
38,2.37
39,3.165
40,0.667
41,7.559
42,2.8939999999999997
43,2.633
44,2.8360000000000003
45,3.063
46,1.36
47,4.334
48,2.167
49,6.819
50,5.3
51,0.0
52,1.535
53,9.89
54,0.0
55,4.595
56,0.0
57,0.0
58,4.415
59,2.03
60,1.035
61,4.437
62,1.043
63,0.0
64,3.9339999999999997
65,6.824
66,13.592
67,0.82
68,10.444
69,0.0
70,0.946
71,1.9069999999999998
72,1.681
73,9.519
74,2.9730000000000003
75,4.525
76,0.932
77,2.478
78,11.664000000000001
79,4.454
80,3.2
81,0.0
82,6.184
83,5.631
84,0.0
85,0.0
86,4.38
87,0.0
88,4.292
89,2.762
90,5.539
91,3.96
92,0.997
93,10.864
94,2.2359999999999998
95,5.347
96,5.8420000000000005
97,6.446000000000001
98,3.51
99,10.262
100,5.682
101,10.044
102,9.079
103,0.0
104,0.0
105,0.0
106,1.485
107,9.779
108,0.0
109,7.973
110,8.238
111,5.252000000000001
112,4.243
113,4.5969999999999995
114,3.122
115,0.0
116,9.033999999999999
117,6.853
118,8.471
119,4.4430000000000005
120,11.321
121,5.947
122,14.511
123,5.696000000000001
124,6.983
125,5.385
126,11.749
127,7.83
128,7.785
129,9.812000000000001
130,6.656000000000001
131,13.113
132,9.42
133,10.76
134,14.16
135,16.697
136,11.12
137,13.774000000000001
138,12.880999999999998
139,18.035999999999998
140,18.042
141,9.911
142,14.055
143,17.393
144,15.394
145,14.845
146,13.784
147,13.657
148,19.354
149,16.139
150,26.427
151,12.624
152,16.474
153,20.704
154,30.340999999999998
155,24.293000000000003
156,20.636
157,22.215999999999998
158,13.52
159,22.758000000000003
160,24.941999999999997
161,15.638
162,30.483
163,31.153000000000002
164,27.688000000000002
165,28.451999999999998
166,28.221
167,34.693000000000005
168,40.224000000000004
169,38.184
170,38.635999999999996
171,31.214000000000002
172,41.486000000000004
173,42.485
174,38.552
175,36.787
176,31.84
177,51.681000000000004
178,39.584
179,45.056000000000004
180,43.45399999999999
181,47.282
182,40.519
183,37.159
184,52.952
185,44.745
186,44.735
187,44.801
188,54.07899999999999
189,51.471000000000004
190,44.88
191,47.343999999999994
192,50.658
193,47.787
194,53.95399999999999
195,53.281000000000006
196,49.79600000000001
197,58.168
198,62.83
199,59.735
200,62.315
201,65.605
202,65.889
203,63.383
204,61.126999999999995
205,63.265
206,65.596
207,69.24
208,66.55
209,67.263
210,67.512
211,68.616
212,65.642
213,76.551
214,64.221
215,67.26899999999999
216,72.016
217,79.586
218,78.499
219,82.147
220,75.46600000000001
221,72.135
222,73.911
223,78.28399999999999
224,69.248
225,77.164
226,80.183
227,78.987
228,83.251
229,80.418
230,78.528
231,85.891
232,81.23899999999999
233,86.288
234,87.285
235,79.72
236,87.741
237,78.991
238,78.994
239,78.632
240,90.412
241,85.17299999999999
242,87.19200000000001
243,85.999
244,88.042
245,96.59200000000001
246,87.663
247,89.527
248,97.53200000000001
249,90.76100000000001
250,94.925
251,95.59299999999999
252,91.80799999999999
253,94.09299999999999
254,91.27
255,95.62200000000001
256,100.831
257,91.206
258,95.396
259,85.53299999999999
260,100.889
261,87.73100000000001
262,90.435
263,89.569
264,90.14200000000001
265,102.322
266,93.105
267,91.27
268,90.546
269,91.49
270,97.427
271,89.789
272,99.09
273,93.76899999999999
274,104.161
275,100.485
276,99.242
277,96.64200000000001
278,92.655
279,87.986
280,89.04700000000001
281,100.14200000000001
282,102.36399999999999
283,100.287
284,97.148
285,103.387
286,100.428
287,96.725
288,98.272
289,94.85
290,91.501
291,92.461
292,96.544
293,97.17299999999999
294,103.62899999999999
295,92.61
296,94.78
297,94.071
298,104.18799999999999
299,94.48899999999999
300,99.47200000000001
301,0.0
302,89.07799999999999
303,99.029
304,96.963
305,101.507
306,95.012
307,107.584
308,100.699
309,94.98
310,103.405
311,112.36200000000001
312,99.537
313,94.21600000000001
314,108.485
315,96.348
316,101.212
317,98.682
318,101.721
319,100.93700000000001
320,89.713
321,106.208
322,103.26799999999999
323,103.92200000000001
324,104.052
325,104.516
326,99.46
327,96.65
328,93.56700000000001
329,101.19
330,100.206
331,97.803
332,103.306
333,109.932
334,97.256
335,100.55799999999999
336,100.698
337,102.544
338,98.06700000000001
339,101.34200000000001
340,100.54899999999999
341,0.0
342,101.30799999999999
343,101.654
344,102.462
345,104.655
346,96.337
347,108.167
348,104.977
349,97.523
350,94.867
351,101.12
352,100.311
353,102.64399999999999
354,91.88
355,97.334
356,100.322
357,100.089
358,95.36399999999999
359,94.27
360,105.992
361,93.524
362,95.869
363,103.7
364,93.694
365,93.07799999999999
366,98.223
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
